spatial_ref,blue_green,brightness,nbrci,ndavi,Date
0,0.429503,807.09546,0.37218177,-0.37218177,2022-01-08
0,0.18358566,209.038,0.15133333,-0.15133333,2022-01-17
0,0.53413904,664.7365,0.52518076,-0.52518076,2022-01-17
0,0.5153374,805.82733,0.4587,-0.4587,2022-02-08
0,0.5060655,703.5887,0.54770094,-0.54770094,2022-02-26
0,0.57691133,505.04947,0.55137205,-0.55137205,2022-03-16
0,0.27867973,490.90906,0.30106065,-0.30106065,2022-03-24
0,0.09678934,171.22644,0.114426255,-0.114426255,2022-03-24
0,0.5907706,637.09314,0.53392386,-0.53392386,2022-04-03
0,0.4688546,611.93896,0.49289104,-0.49289104,2022-04-05
0,0.47799408,605.3561,0.46337795,-0.46337795,2022-05-03
0,0.5647256,905.1314,0.36300614,-0.36300614,2022-05-23
0,0.15243168,165.95174,0.11482741,-0.11482741,2022-06-26
0,0.50133234,636.2787,0.4482575,-0.4482575,2022-06-26
0,0.34243238,362.2622,0.35618368,-0.35618368,2022-07-13
0,0.0026105114,0.2043935,0.0008632949,-0.0008632949,2022-07-13
0,0.5199652,611.611,0.5441897,-0.5441897,2022-07-13
0,0.5924484,651.41675,0.5212581,-0.5212581,2022-07-26
0,0.56797695,634.0776,0.49985087,-0.49985087,2022-07-26
0,0.49839568,796.29126,0.5437177,-0.5437177,2022-08-16
0,0.18697935,278.4306,0.15493952,-0.15493952,2022-08-23
0,0.5141601,915.0787,0.45777884,-0.45777884,2022-08-23
0,0.5815791,631.52405,0.5568028,-0.5568028,2022-09-12
0,0.46125966,618.79083,0.49039614,-0.49039614,2022-09-24
0,0.52023256,673.62744,0.5651874,-0.5651874,2022-10-08
0,0.46222642,621.19,0.57388115,-0.57388115,2022-10-29
0,0.05765147,58.5169,0.039379507,-0.039379507,2022-10-29
0,0.59093755,728.9551,0.49815625,-0.49815625,2022-11-12
0,0.07926973,61.583443,0.087281935,-0.087281935,2022-11-25
0,0.542153,507.1466,0.5717502,-0.5717502,2022-11-25
0,0.38264516,496.4146,0.33594567,-0.33594567,2022-12-05
0,0.0016575806,1.4420145,0.00022840165,-0.00022840165,2022-12-05
0,0.10250851,175.01373,0.041275598,-0.041275598,2022-12-05
0,0.4565226,909.1267,0.17907546,-0.17907546,2022-12-14
0,0.5754204,602.2304,0.5598419,-0.5598419,2023-01-07
0,0.515368,727.6797,0.5393684,-0.5393684,2023-02-11
0,0.49858385,581.66327,0.46394497,-0.46394497,2023-03-10
0,0.57652044,639.2024,0.4939016,-0.4939016,2023-04-18
0,0.5216639,757.1755,0.37634984,-0.37634984,2023-05-26
0,0.65846187,538.4203,0.5743891,-0.5743891,2023-06-16
0,0.57299066,762.7497,0.4565029,-0.4565029,2023-07-06
0,0.3835221,749.60834,0.32128143,-0.32128143,2023-08-06
0,0.40061808,794.9897,0.26356122,-0.26356122,2023-09-10
0,0.48107496,669.3827,0.46842507,-0.46842507,2023-10-12
0,0.49800706,686.5695,0.4240849,-0.4240849,2023-11-10
0,0.4253607,777.68256,0.31306738,-0.31306738,2023-12-18
0,0.5400709,816.484,0.21085931,-0.21085931,2024-01-27
0,0.5504851,546.2778,0.4549967,-0.4549967,2024-02-26
0,0.48994336,653.3912,0.51969814,-0.51969814,2024-03-19
0,0.43243226,711.62994,0.3976796,-0.3976796,2024-04-03
0,0.48924455,691.4274,0.39138177,-0.39138177,2024-05-14
0,0.65866923,664.6541,0.56459075,-0.56459075,2024-06-07
0,0.5415759,661.6003,0.5054619,-0.5054619,2024-07-12
0,0.5925415,577.7277,0.56304,-0.56304,2024-08-06
0,0.5281598,645.0625,0.47349712,-0.47349712,2024-09-03
0,0.5989954,730.9115,0.45782232,-0.45782232,2024-10-04
0,0.42882675,867.45386,0.15823767,-0.15823767,2024-11-09
0,0.49929002,793.8705,0.34955245,-0.34955245,2024-12-07
0,0.45557165,646.7637,0.4846646,-0.4846646,2025-01-09
0,0.5953619,1166.9042,0.23621565,-0.23621565,2025-02-19
0,0.5152323,722.9906,0.53515536,-0.53515536,2025-03-07
0,0.50703794,724.32855,0.38522935,-0.38522935,2025-04-08
0,0.56204873,684.5814,0.544065,-0.544065,2025-05-17
0,0.5517341,567.1426,0.5609769,-0.5609769,2025-06-14
0,0.55688125,582.1139,0.5853983,-0.5853983,2025-07-13
0,0.50899917,816.2366,0.39321148,-0.39321148,2025-08-05
0,0.50631154,850.4723,0.3051351,-0.3051351,2025-09-04
0,0.50133634,757.9777,0.49063188,-0.49063188,2025-10-06
0,0.5739576,1092.2399,0.10420406,-0.10420406,2025-11-10
0,0.5522886,806.407,0.2851947,-0.2851947,2025-12-06
