year,month,day,suffix,metadata,name
2025,12,10,24fa,20251210_003335_21_24fa,dennis
2025,12,6,2513,20251206_002820_22_2513,philip
2025,11,27,2515,20251127_002640_44_2515,dennis
2025,11,10,2523,20251110_002925_16_2523,philip
2025,10,14,24df,20251014_003911_34_24df,dennis
2025,10,6,2540,20251006_003301_45_2540,philip
2025,9,27,253f,20250927_003021_98_253f,dennis
2025,9,4,24fb,20250904_003701_07_24fb,philip
2025,8,24,2531,20250824_003109_99_2531,dennis
2025,8,5,2521,20250805_002312_31_2521,philip
2025,7,25,2540,20250725_003126_61_2540,dennis
2025,7,13,2538,20250713_002904_12_2538,philip
2025,6,25,24d1,20250625_002445_30_24d1,dennis
2025,6,14,24e9,20250614_003125_14_24e9,philip
2025,5,27,2533,20250527_003032_67_2533,dennis
2025,5,17,2417,20250517_234928_66_2417,philip
2025,5,9,2506,20250509_002306_17_2506,dennis
2025,5,9,2506,20250509_002303_92_2506,dennis
2025,4,8,2506,20250408_002155_30_2506,philip
2025,3,7,24a7,20250307_233653_40_24a7,philip
2025,2,19,2539,20250219_002808_50_2539,philip
2025,1,26,254a,20250126_002911_59_254a,dennis
2025,1,17,2417,20250117_233520_75_2417,dennis
2025,1,9,24bf,20250109_233723_05_24bf,philip
2024,12,27,24e1,20241227_001335_76_24e1,dennis
2024,12,7,24e5,20241207_001223_95_24e5,philip
2024,11,27,24c2,20241127_233242_26_24c2,dennis
2024,11,9,2507,20241109_001837_25_2507,philip
2024,10,25,24fb,20241025_001354_42_24fb,dennis
2024,10,4,24aa,20241004_001106_94_24aa,philip
2024,9,28,24fc,20240928_001425_26_24fc,dennis
2024,9,3,251c,20240903_001724_14_251c,philip
2024,8,22,24bd,20240822_000941_76_24bd,dennis
2024,8,6,24aa,20240806_001108_09_24aa,philip
2024,7,30,24e6,20240730_000907_16_24e6,dennis
2024,7,12,24f8,20240712_001305_39_24f8,philip
2024,6,29,24b6,20240629_231805_90_24b6,dennis
2024,6,7,24e5,20240607_000749_84_24e5,philip
2024,5,20,2483,20240520_001401_42_2483,dennis
2024,5,14,24e8,20240514_000843_67_24e8,philip
2024,4,28,24bd,20240428_001224_17_24bd,dennis
2024,4,3,2486,20240403_000448_30_2486,philip
2024,3,19,24d0,20240319_231713_31_24d0,philip
2024,3,7,24c3,20240307_231716_40_24c3,dennis
2024,2,26,24ba,20240226_231537_42_24ba,philip
2024,2,4,2478,20240204_235948_63_2478,dennis
2024,1,27,24e6,20240127_001240_76_24e6,philip
2023,12,29,2439,20231229_231829_29_2439,dennis
2023,12,18,24c7,20231218_231332_80_24c7,philip
2023,12,6,2459,20231206_231009_12_2459,dennis
2023,11,16,2459,20231116_231210_64_2459,dennis
2023,11,10,242e,20231110_231221_53_242e,philip
2023,10,29,2486,20231029_235325_75_2486,dennis
2023,10,12,2475,20231012_235250_49_2475,philip
2023,9,26,2446,20230926_235000_65_2446,dennis
2023,9,10,2426,20230910_000822_44_2426,philip
2023,8,26,2276,20230826_234607_94_2276,dennis
2023,8,6,24ce,20230806_231123_30_24ce,philip
2023,7,14,24bb,20230714_230913_61_24bb,dennis
2023,7,6,24a8,20230706_231126_50_24a8,philip
2023,6,27,24c3,20230627_231212_60_24c3,dennis
2023,6,16,2458,20230616_230738_24_2458,philip
2023,5,26,242b,20230526_230320_51_242b,philip
2023,5,9,24c4,20230509_231102_59_24c4,dennis
2023,4,18,24c0,20230418_230938_25_24c0,philip
2023,4,14,24be,20230414_230818_36_24be,dennis
2023,3,24,248c,20230324_234118_45_248c,dennis
2023,3,10,2413,20230310_235909_57_2413,philip
2023,2,18,2449,20230218_230113_01_2449,dennis
2023,2,11,24a5,20230211_234024_34_24a5,philip
2023,1,28,247a,20230128_233951_12_247a,dennis
2023,1,7,2414,20230107_235022_40_2414,philip
2022,12,14,24a4,20221214_234024_91_24a4,tricia
2022,12,5,2475,20221205_234103_38_2475,tricia
2022,12,5,2475,20221205_234101_24_2475,tricia
2022,12,5,2470,20221205_233632_34_2470,tricia
2022,11,25,2484,20221125_233718_39_2484,tricia
2022,11,25,2484,20221125_233716_24_2484,tricia
2022,11,12,249b,20221112_233657_26_249b,tricia
2022,10,29,2477,20221029_233900_33_2477,tricia
2022,10,29,247b,20221029_234130_60_247b,tricia
2022,10,8,249e,20221008_233726_74_249e,tricia
2022,9,24,2475,20220924_234047_25_2475,tricia
2022,9,12,249c,20220912_233634_72_249c,tricia
2022,8,23,248b,20220823_233651_57_248b,tricia
2022,8,23,248b,20220823_233653_85_248b,tricia
2022,8,16,248e,20220816_233613_83_248e,tricia
2022,7,26,2451,20220726_230332_45_2451,tricia
2022,7,26,2451,20220726_230334_73_2451,tricia
2022,7,13,241e,20220713_230740_46_241e,tricia
2022,7,13,241e,20220713_230742_75_241e,tricia
2022,7,13,247a,20220713_234037_08_247a,tricia
